,Aggregate,Unix
0,338.49368,1430265600000.0
1,321.7402600000001,1430266200000.0
2,339.2625,1430266800000.0
3,327.38272,1430267400000.0
4,311.01236,1430268000000.0
5,338.79013,1430268600000.0
6,326.02533,1430269200000.0
7,313.925,1430269800000.0
8,336.9625,1430270400000.0
9,315.98734,1430271000000.0
10,336.8375,1430271600000.0
11,2331.1604,1430272200000.0
12,1105.2963,1430272800000.0
13,359.0,1430273400000.0
14,366.02563,1430274000000.0
15,349.91025,1430274600000.0
16,366.3816,1430275200000.0
17,379.7595,1430275800000.0
18,345.92307,1430276400000.0
19,343.5263,1430277000000.0
20,2276.284,1430277600000.0
21,1218.8334,1430278200000.0
22,335.5875,1430278800000.0
23,323.775,1430279400000.0
24,301.0,1430280000000.0
25,322.3797600000001,1430280600000.0
26,308.6666600000001,1430281200000.0
27,313.7015,1430281800000.0
28,347.42105,1430282400000.0
29,321.32,1430283000000.0
30,308.0886,1430283600000.0
31,479.56412,1430284200000.0
32,430.7073,1430284800000.0
33,413.10526,1430285400000.0
34,430.80264000000005,1430286000000.0
35,972.52563,1430286600000.0
36,416.33334,1430287200000.0
37,1384.8607,1430287800000.0
38,1387.6104,1430288400000.0
39,3314.8857,1430289000000.0
40,953.8246,1430289600000.0
41,604.1698,1430290200000.0
42,593.02985,1430290800000.0
43,619.75757,1430291400000.0
44,661.8406,1430292000000.0
45,821.0172,1430292600000.0
46,525.413,1430293200000.0
47,494.3654,1430293800000.0
48,472.975,1430294400000.0
49,739.5189999999999,1430295000000.0
50,573.6709,1430295600000.0
51,314.8875,1430296200000.0
52,352.7595,1430296800000.0
53,327.1875,1430297400000.0
54,337.65433,1430298000000.0
55,357.18988,1430298600000.0
56,316.37805,1430299200000.0
57,326.30487,1430299800000.0
58,337.3164700000001,1430300400000.0
59,317.28394,1430301000000.0
60,338.95,1430301600000.0
61,335.0375,1430302200000.0
62,306.5783,1430302800000.0
63,345.4430200000001,1430303400000.0
64,326.97437,1430304000000.0
65,326.81482,1430304600000.0
66,357.4026,1430305200000.0
67,334.58228,1430305800000.0
68,320.38272,1430306400000.0
69,348.3875,1430307000000.0
70,327.54544,1430307600000.0
71,327.68353,1430308200000.0
72,353.4375,1430308800000.0
73,324.46155,1430309400000.0
74,339.12195,1430310000000.0
75,345.6875,1430310600000.0
76,324.1375,1430311200000.0
77,341.45715,1430311800000.0
78,323.85107,1430312400000.0
79,366.77777,1430313000000.0
80,325.0,1430313600000.0
81,320.2073,1430314200000.0
82,353.5882299999999,1430314800000.0
83,316.02438,1430315400000.0
84,334.31396,1430316000000.0
85,346.31033,1430316600000.0
86,324.30588,1430317200000.0
87,344.0595,1430317800000.0
88,339.4643,1430318400000.0
89,322.9,1430319000000.0
90,364.1111,1430319600000.0
91,337.0375,1430320200000.0
92,319.87656,1430320800000.0
93,501.6282,1430321400000.0
94,508.20514,1430322000000.0
95,790.8077,1430322600000.0
96,523.4359,1430323200000.0
